year	president_party	public_polarization	scotus_polarization
1866	R	0.156477	1.000000
1867	R	0.272700	1.000000
1868	R	0.324296	1.000000
1869	R	0.378410	1.000000
1870	D	0.438367	1.000000
1871	D	0.530043	1.000000
1872	D	0.584011	1.000000
1873	D	0.652707	1.000000
1874	R	0.704402	1.000000
1875	R	0.738732	1.000000
1876	R	0.822413	1.000000
1877	R	0.817290	1.000000
1878	D	0.809661	0.555556
1879	D	0.768144	0.555556
1880	D	0.718229	0.555556
1881	D	0.803499	0.555556
1882	R	0.832651	0.555556
1883	R	0.861992	0.555556
1884	R	0.805249	0.555556
1885	R	0.796766	0.555556
1886	D	0.803042	0.555556
1887	D	0.782754	0.555556
1888	D	0.779569	0.555556
1889	D	0.761983	0.555556
1890	R	0.741942	0.555556
1891	R	0.757866	0.555556
1892	R	0.801757	0.555556
1893	R	0.786549	0.555556
1894	D	0.770484	0.555556
1895	D	0.726722	0.333333
1896	D	0.728191	0.333333
1897	D	0.638972	0.333333
1898	R	0.648401	0.333333
1899	R	0.579186	0.333333
1900	R	0.493326	0.333333
1901	R	0.538478	0.333333
1902	D	0.560325	0.333333
1903	D	0.528777	0.333333
1904	D	0.490214	0.333333
1905	D	0.383316	0.111111
1906	R	0.322324	0.111111
1907	R	0.346412	0.111111
1908	R	0.365557	0.333333
1909	R	0.365911	0.333333
1910	D	0.319222	0.333333
1911	D	0.321697	0.333333
1912	D	0.370993	0.333333
1913	D	0.396717	0.333333
1914	R	0.389652	0.333333
1915	R	0.387727	0.333333
1916	R	0.383883	0.333333
1917	R	0.409866	0.333333
1918	D	0.426674	0.333333
1919	D	0.444734	0.333333
1920	D	0.488155	0.333333
1921	D	0.505368	0.333333
1922	R	0.521200	0.333333
1923	R	0.470945	0.333333
1924	R	0.527206	0.333333
1925	R	0.527941	0.333333
1926	D	0.526238	0.333333
1927	D	0.561916	0.333333
1928	D	0.533873	0.333333
1929	D	0.441939	0.333333
1930	R	0.427138	0.333333
1931	R	0.439383	0.333333
1932	R	0.411907	0.333333
1933	R	0.429364	0.333333
1934	D	0.421788	0.333333
1935	D	0.382791	0.333333
1936	D	0.427228	0.333333
1937	D	0.464737	0.333333
1938	R	0.465676	0.333333
1939	R	0.431338	0.333333
1940	R	0.425500	0.333333
1941	R	0.455356	0.333333
1942	D	0.496892	0.333333
1943	D	0.484773	0.333333
1944	D	0.430962	0.333333
1945	D	0.480882	0.333333
1946	R	0.446220	0.333333
1947	R	0.439692	0.333333
1948	R	0.484788	0.333333
1949	R	0.436779	0.333333
1950	D	0.444174	0.333333
1951	D	0.386097	0.333333
1952	D	0.359483	0.333333
1953	D	0.367337	0.333333
1954	R	0.345053	0.333333
1955	R	0.340222	0.333333
1956	R	0.330919	0.333333
1957	R	0.328807	0.333333
1958	D	0.369976	0.333333
1959	D	0.397259	0.333333
1960	D	0.437714	0.333333
1961	D	0.359753	0.111111
1962	R	0.348845	0.111111
1963	R	0.310516	0.111111
1964	R	0.306245	0.111111
1965	R	0.310715	0.111111
1966	D	0.246424	0.111111
1967	D	0.246648	0.111111
1968	D	0.250024	0.111111
1969	D	0.253904	0.111111
1970	R	0.291114	0.111111
1971	R	0.286335	0.111111
1972	R	0.305029	0.111111
1973	R	0.282801	0.111111
1974	D	0.304164	0.111111
1975	D	0.338923	0.111111
1976	D	0.289367	0.111111
1977	D	0.302369	0.111111
1978	R	0.301570	0.111111
1979	R	0.323437	0.111111
1980	R	0.316301	0.111111
1981	R	0.299325	0.111111
1982	D	0.223094	-0.111111
1983	D	0.184456	-0.111111
1984	D	0.089774	-0.111111
1985	D	0.030546	-0.111111
1986	R	-0.013537	-0.111111
1987	R	-0.037249	-0.111111
1988	R	-0.022062	-0.111111
1989	R	-0.061267	-0.111111
1990	D	-0.103613	-0.111111
1991	D	-0.136442	-0.111111
1992	D	-0.170587	-0.111111
1993	D	-0.157466	-0.111111
1994	R	-0.172996	-0.111111
1995	R	-0.180047	-0.111111
1996	R	-0.190105	-0.111111
1997	R	-0.171984	-0.111111
1998	D	-0.163742	-0.111111
1999	D	-0.218065	-0.111111
2000	D	-0.215962	-0.111111
2001	D	-0.179496	-0.111111
2002	R	-0.157278	-0.111111
2003	R	-0.165481	-0.111111
2004	R	-0.174456	-0.111111
2005	R	-0.204524	-0.111111
2006	D	-0.265388	-0.333333
2007	D	-0.297051	-0.333333
2008	D	-0.269204	-0.333333
2009	D	-0.292753	-0.333333
2010	R	-0.320579	-0.333333
2011	R	-0.333162	-0.333333
2012	R	-0.413765	-0.333333
2013	R	-0.368125	-0.333333
2014	D	-0.323753	-0.333333
2015	D	-0.328569	-0.333333
2016	D	-0.377378	-0.333333
2017	D	-0.364021	-0.333333
2018	R	-0.354139	-0.333333
2019	R	-0.370897	-0.333333
2020	R	-0.419146	-0.333333
2021	R	-0.466167	-0.333333
2022	D	-0.393658	-0.333333
2023	D	-0.368000	-0.333333
2024	D	-0.322774	-0.333333
2025	D	-0.366782	-0.333333
