year	president_party	public_polarization	scotus_polarization
1866	R	0.156477	1.000000
1867	R	0.272700	1.000000
1868	R	0.324296	1.000000
1869	R	0.378410	1.000000
1870	D	0.404934	0.555556
1871	D	0.468192	0.555556
1872	D	0.498005	0.555556
1873	D	0.546168	0.555556
1874	R	0.580412	0.555556
1875	R	0.599907	0.555556
1876	R	0.670979	0.555556
1877	R	0.655138	0.555556
1878	D	0.638810	0.333333
1879	D	0.495811	-0.111111
1880	D	0.359635	-0.111111
1881	D	0.371584	-0.111111
1882	R	0.387955	0.111111
1883	R	0.406432	0.111111
1884	R	0.340455	0.111111
1885	R	0.368669	0.333333
1886	D	0.361591	0.111111
1887	D	0.329953	0.111111
1888	D	0.317120	0.111111
1889	D	0.291333	0.111111
1890	R	0.264322	0.111111
1891	R	0.274320	0.111111
1892	R	0.313175	0.111111
1893	R	0.293687	0.111111
1894	D	0.273983	0.111111
1895	D	0.210607	-0.111111
1896	D	0.195405	-0.111111
1897	D	0.092014	-0.111111
1898	R	0.089399	-0.111111
1899	R	0.009945	-0.111111
1900	R	-0.084617	-0.111111
1901	R	-0.046862	-0.111111
1902	D	-0.075850	-0.333333
1903	D	-0.183628	-0.555556
1904	D	-0.286987	-0.555556
1905	D	-0.404416	-0.555556
1906	R	-0.474358	-0.555556
1907	R	-0.380310	-0.111111
1908	R	-0.346245	-0.111111
1909	R	-0.333210	-0.111111
1910	D	-0.369119	-0.111111
1911	D	-0.357482	-0.111111
1912	D	-0.344944	-0.333333
1913	D	-0.350465	-0.333333
1914	R	-0.339541	-0.111111
1915	R	-0.276634	0.111111
1916	R	-0.180824	0.333333
1917	R	-0.070134	0.333333
1918	D	-0.025873	0.111111
1919	D	0.015523	0.111111
1920	D	0.029237	-0.111111
1921	D	0.021198	-0.111111
1922	R	0.015568	-0.111111
1923	R	-0.052931	-0.111111
1924	R	-0.012177	-0.111111
1925	R	0.024918	0.111111
1926	D	0.054123	0.111111
1927	D	0.116072	0.111111
1928	D	0.110359	0.111111
1929	D	-0.012137	-0.111111
1930	R	-0.052915	-0.111111
1931	R	-0.013209	0.111111
1932	R	-0.017342	0.111111
1933	R	0.019955	0.111111
1934	D	-0.020298	-0.111111
1935	D	-0.087071	-0.111111
1936	D	-0.066243	-0.111111
1937	D	-0.093349	-0.333333
1938	R	-0.102785	-0.111111
1939	R	-0.145942	-0.111111
1940	R	-0.159277	-0.111111
1941	R	-0.135794	-0.111111
1942	D	-0.099673	-0.111111
1943	D	-0.116396	-0.111111
1944	D	-0.174121	-0.111111
1945	D	-0.127526	-0.111111
1946	R	-0.165016	-0.111111
1947	R	-0.124405	0.111111
1948	R	0.005305	0.333333
1949	R	0.029219	0.333333
1950	D	0.097748	0.333333
1951	D	0.047088	0.111111
1952	D	-0.022763	-0.111111
1953	D	-0.096208	-0.333333
1954	R	-0.143049	-0.111111
1955	R	-0.168753	-0.111111
1956	R	-0.195798	-0.111111
1957	R	-0.212991	-0.111111
1958	D	-0.184641	-0.111111
1959	D	-0.168255	-0.111111
1960	D	-0.137061	-0.111111
1961	D	-0.178348	-0.111111
1962	R	-0.108540	0.111111
1963	R	-0.033715	0.333333
1964	R	0.058194	0.333333
1965	R	0.177441	0.555556
1966	D	0.210709	0.555556
1967	D	0.216290	0.111111
1968	D	0.174677	-0.111111
1969	D	0.095771	-0.333333
1970	R	0.062612	-0.333333
1971	R	0.042567	-0.111111
1972	R	0.097826	0.111111
1973	R	0.106678	0.111111
1974	D	0.154460	0.111111
1975	D	0.162133	-0.111111
1976	D	0.089553	-0.111111
1977	D	0.082985	-0.111111
1978	R	0.065551	-0.111111
1979	R	0.122821	0.111111
1980	R	0.145777	0.111111
1981	R	0.154380	0.111111
1982	D	0.055344	-0.333333
1983	D	-0.002677	-0.333333
1984	D	-0.146858	-0.555556
1985	D	-0.269300	-0.777778
1986	R	-0.367116	-0.777778
1987	R	-0.436500	-0.777778
1988	R	-0.460134	-0.777778
1989	R	-0.511197	-0.555556
1990	D	-0.563622	-0.555556
1991	D	-0.605017	-0.555556
1992	D	-0.646444	-0.555556
1993	D	-0.639513	-0.555556
1994	R	-0.660304	-0.555556
1995	R	-0.671827	-0.555556
1996	R	-0.685686	-0.555556
1997	R	-0.637775	-0.333333
1998	D	-0.604211	-0.333333
1999	D	-0.637010	-0.333333
2000	D	-0.616611	-0.333333
2001	D	-0.564595	-0.333333
2002	R	-0.529158	-0.333333
2003	R	-0.432037	0.111111
2004	R	-0.351487	0.111111
2005	R	-0.227890	0.555556
2006	D	-0.146613	0.333333
2007	D	-0.057458	0.333333
2008	D	0.073086	0.333333
2009	D	0.092281	0.111111
2010	R	0.145336	0.333333
2011	R	0.201500	0.333333
2012	R	0.179333	0.333333
2013	R	0.307665	0.555556
2014	D	0.422326	0.555556
2015	D	0.477255	0.555556
2016	D	0.401661	0.111111
2017	D	0.392251	0.111111
2018	R	0.382781	0.111111
2019	R	0.349573	0.111111
2020	R	0.287342	0.111111
2021	R	0.272983	0.333333
2022	D	0.373255	0.333333
2023	D	0.422511	0.333333
2024	D	0.443249	0.111111
2025	D	0.378426	0.111111
